% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2
1.011	2	1	102	2	1	28	9422	0	0
1.026	1	1	103	7	1	28	9422	0	0
1.046	2	1	105	7	1	28	9422	0	0
1.061	1	1	107	2	1	28	9422	0	0
1.081	2	1	109	2	1	28	9422	0	0
1.096	1	1	110	7	1	28	9422	0	0
1.116	2	1	112	7	1	28	9422	0	0
1.131	1	1	114	2	1	28	9422	0	0
1.151	2	1	116	2	1	28	9422	0	0
1.166	1	1	117	7	1	28	9422	0	0
1.186	2	1	119	7	1	28	9422	0	0
1.201	1	1	121	2	1	28	9422	0	0
1.221	2	1	123	2	1	28	9422	0	0
1.222	2	1	123	3	1	28	9422	0	0
1.236	1	1	124	7	1	28	9422	0	0
1.256	2	1	126	7	1	28	9422	0	0
1.257	2	1	126	8	1	28	9422	0	0
1.271	1	1	128	2	1	28	9422	0	0
1.291	2	1	130	2	1	28	9422	0	0
1.292	2	1	130	3	1	28	9422	0	0
1.293	2	1	130	4	1	28	9422	0	0
1.306	1	1	131	7	1	28	9422	0	0
1.326	2	1	133	7	1	28	9422	0	0
1.327	2	1	133	8	1	28	9422	0	0
1.328	2	1	133	9	1	28	9422	0	0
1.329	2	1	133	10	1	28	9422	0	0
1.33	2	1	134	1	1	28	9422	0	0
1.341	1	1	135	2	1	28	9422	0	0
1.361	2	1	137	2	1	28	9422	0	0
1.362	2	1	137	3	1	28	9422	0	0
1.363	2	1	137	4	1	28	9422	0	0
1.364	2	1	137	5	1	28	9422	0	0
1.365	1	1	137	6	1	28	9422	0	0
1.365	2	1	137	6	1	28	9422	0	0
1.366	2	1	137	7	1	28	9422	0	0
1.367	2	1	137	8	1	28	9422	0	0
1.368	2	1	137	9	1	28	9422	0	0
1.39	2	1	140	1	1	28	9422	0	0
1.391	2	1	140	2	1	28	9422	0	0
1.392	2	1	140	3	1	28	9422	0	0
1.402	1	1	141	3	1	28	9422	0	0
1.427	1	1	143	8	1	28	9422	0	0
1.447	2	1	145	8	1	28	9422	0	0
1.448	2	1	145	9	1	28	9422	0	0
1.449	2	1	145	10	1	28	9422	0	0
1.45	2	1	146	1	1	28	9422	0	0
1.451	2	1	146	2	1	28	9422	0	0
1.452	2	1	146	3	1	28	9422	0	0
1.453	2	1	146	4	1	28	9422	0	0
1.454	2	1	146	5	1	28	9422	0	0
1.455	2	1	146	6	1	28	9422	0	0
1.456	2	1	146	7	1	28	9422	0	0
1.457	2	1	146	8	1	28	9422	0	0
1.458	1	1	146	9	1	28	9422	0	0
1.458	2	1	146	9	1	28	9422	0	0
1.459	2	1	146	10	1	28	9422	0	0
1.46	2	1	147	1	1	28	9422	0	0
1.461	2	1	147	2	1	28	9422	0	0
1.462	2	1	147	3	1	28	9422	0	0
1.463	2	1	147	4	1	28	9422	0	0
1.464	2	1	147	5	1	28	9422	0	0
1.465	2	1	147	6	1	28	9422	0	0
1.466	2	1	147	7	1	28	9422	0	0
1.471	2	1	148	2	1	28	9422	0	0
1.472	2	1	148	3	1	28	9422	0	0
1.473	2	1	148	4	1	28	9422	0	0
1.474	2	1	148	5	1	28	9422	0	0
1.475	2	1	148	6	1	28	9422	0	0
1.476	2	1	148	7	1	28	9422	0	0
1.477	2	1	148	8	1	28	9422	0	0
1.478	2	1	148	9	1	28	9422	0	0
1.483	2	1	149	4	1	28	9422	0	0
1.484	2	1	149	5	1	28	9422	0	0
1.485	2	1	149	6	1	28	9422	0	0
1.486	2	1	149	7	1	28	9422	0	0
1.487	2	1	149	8	1	28	9422	0	0
1.488	2	1	149	9	1	28	9422	0	0
1.489	2	1	149	10	1	28	9422	0	0
1.49	2	1	150	1	1	28	9422	0	0
1.491	2	1	150	2	1	28	9422	0	0
1.492	2	1	150	3	1	28	9422	0	0
1.493	1	1	150	4	1	28	9422	0	0
1.493	2	1	150	4	1	28	9422	0	0
1.494	2	1	150	5	1	28	9422	0	0
1.495	2	1	150	6	1	28	9422	0	0
1.496	2	1	150	7	1	28	9422	0	0
1.497	2	1	150	8	1	28	9422	0	0
1.498	2	1	150	9	1	28	9422	0	0
1.499	2	1	150	10	1	28	9422	0	0
1.5	2	1	151	1	1	28	9422	0	0
1.501	2	1	151	2	1	28	9422	0	0
1.502	2	1	151	3	1	28	9422	0	0
1.503	2	1	151	4	1	28	9422	0	0
1.504	1	1	151	5	1	28	9422	0	0
1.504	2	1	151	5	1	28	9422	0	0
1.505	2	1	151	6	1	28	9422	0	0
1.506	2	1	151	7	1	28	9422	0	0
1.507	2	1	151	8	1	28	9422	0	0
1.508	2	1	151	9	1	28	9422	0	0
1.513	2	1	152	4	1	28	9422	0	0
1.514	2	1	152	5	1	28	9422	0	0
1.515	2	1	152	6	1	28	9422	0	0
1.516	2	1	152	7	1	28	9422	0	0
1.517	2	1	152	8	1	28	9422	0	0
1.518	2	1	152	9	1	28	9422	0	0
1.519	2	1	152	10	1	28	9422	0	0
1.52	2	1	153	1	1	28	9422	0	0
1.525	2	1	153	6	1	28	9422	0	0
1.526	2	1	153	7	1	28	9422	0	0
1.527	2	1	153	8	1	28	9422	0	0
1.528	2	1	153	9	1	28	9422	0	0
1.529	2	1	153	10	1	28	9422	0	0
1.53	2	1	154	1	1	28	9422	0	0
1.531	2	1	154	2	1	28	9422	0	0
1.532	2	1	154	3	1	28	9422	0	0
1.533	2	1	154	4	1	28	9422	0	0
1.534	2	1	154	5	1	28	9422	0	0
1.535	1	1	154	6	1	28	9422	0	0
1.535	2	1	154	6	1	28	9422	0	0
1.536	2	1	154	7	1	28	9422	0	0
1.537	2	1	154	8	1	28	9422	0	0
1.538	2	1	154	9	1	28	9422	0	0
1.539	2	1	154	10	1	28	9422	0	0
1.54	2	1	155	1	1	28	9422	0	0
1.541	2	1	155	2	1	28	9422	0	0
1.542	2	1	155	3	1	28	9422	0	0
1.543	2	1	155	4	1	28	9422	0	0
1.544	2	1	155	5	1	28	9422	0	0
1.545	2	1	155	6	1	28	9422	0	0
1.546	1	1	155	7	1	28	9422	0	0
1.546	2	1	155	7	1	28	9422	0	0
1.547	2	1	155	8	1	28	9422	0	0
1.552	2	1	156	3	1	28	9422	0	0
1.553	2	1	156	4	1	28	9422	0	0
1.554	2	1	156	5	1	28	9422	0	0
1.555	2	1	156	6	1	28	9422	0	0
1.556	2	1	156	7	1	28	9422	0	0
1.557	2	1	156	8	1	28	9422	0	0
1.558	2	1	156	9	1	28	9422	0	0
1.559	2	1	156	10	1	28	9422	0	0
1.564	2	1	157	5	1	28	9422	0	0
1.565	2	1	157	6	1	28	9422	0	0
1.566	2	1	157	7	1	28	9422	0	0
1.567	2	1	157	8	1	28	9422	0	0
1.568	2	1	157	9	1	28	9422	0	0
1.569	2	1	157	10	1	28	9422	0	0
1.57	2	1	158	1	1	28	9422	0	0
1.571	2	1	158	2	1	28	9422	0	0
1.572	2	1	158	3	1	28	9422	0	0
1.573	2	1	158	4	1	28	9422	0	0
1.574	1	1	158	5	1	28	9422	0	0
1.574	2	1	158	5	1	28	9422	0	0
1.575	2	1	158	6	1	28	9422	0	0
1.576	2	1	158	7	1	28	9422	0	0
1.577	2	1	158	8	1	28	9422	0	0
1.578	2	1	158	9	1	28	9422	0	0
1.579	2	1	158	10	1	28	9422	0	0
1.58	2	1	159	1	1	28	9422	0	0
1.581	2	1	159	2	1	28	9422	0	0
1.582	2	1	159	3	1	28	9422	0	0
1.583	2	1	159	4	1	28	9422	0	0
1.584	2	1	159	5	1	28	9422	0	0
1.585	1	1	159	6	1	28	9422	0	0
1.585	2	1	159	6	1	28	9422	0	0
1.586	2	1	159	7	1	28	9422	0	0
1.587	2	1	159	8	1	28	9422	0	0
1.588	2	1	159	9	1	28	9422	0	0
1.589	2	1	159	10	1	28	9422	0	0
1.59	2	1	160	1	1	28	9422	0	0
1.591	2	1	160	2	1	28	9422	0	0
1.592	2	1	160	3	1	28	9422	0	0
1.597	2	1	160	8	1	28	9422	0	0
1.598	2	1	160	9	1	28	9422	0	0
1.599	2	1	160	10	1	28	9422	0	0
1.6	2	1	161	1	1	28	9422	0	0
1.601	2	1	161	2	1	28	9422	0	0
1.602	2	1	161	3	1	28	9422	0	0
1.603	2	1	161	4	1	28	9422	0	0
1.604	2	1	161	5	1	28	9422	0	0
1.609	2	1	161	10	1	28	9422	0	0
1.61	2	1	162	1	1	28	9422	0	0
1.611	2	1	162	2	1	28	9422	0	0
1.612	2	1	162	3	1	28	9422	0	0
1.613	2	1	162	4	1	28	9422	0	0
1.614	2	1	162	5	1	28	9422	0	0
1.615	2	1	162	6	1	28	9422	0	0
1.616	2	1	162	7	1	28	9422	0	0
1.617	2	1	162	8	1	28	9422	0	0
1.618	2	1	162	9	1	28	9422	0	0
1.619	1	1	162	10	1	28	9422	0	0
1.619	2	1	162	10	1	28	9422	0	0
1.62	2	1	163	1	1	28	9422	0	0
1.621	2	1	163	2	1	28	9422	0	0
1.622	2	1	163	3	1	28	9422	0	0
1.623	2	1	163	4	1	28	9422	0	0
1.624	2	1	163	5	1	28	9422	0	0
1.625	2	1	163	6	1	28	9422	0	0
1.626	2	1	163	7	1	28	9422	0	0
1.627	2	1	163	8	1	28	9422	0	0
1.628	2	1	163	9	1	28	9422	0	0
1.629	2	1	163	10	1	28	9422	0	0
1.63	1	1	164	1	1	28	9422	0	0
1.63	2	1	164	1	1	28	9422	0	0
1.635	2	1	164	6	1	28	9422	0	0
1.636	2	1	164	7	1	28	9422	0	0
1.637	2	1	164	8	1	28	9422	0	0
1.638	2	1	164	9	1	28	9422	0	0
1.639	2	1	164	10	1	28	9422	0	0
1.64	2	1	165	1	1	28	9422	0	0
1.641	2	1	165	2	1	28	9422	0	0
1.642	2	1	165	3	1	28	9422	0	0
1.647	2	1	165	8	1	28	9422	0	0
1.648	2	1	165	9	1	28	9422	0	0
1.649	2	1	165	10	1	28	9422	0	0
1.65	2	1	166	1	1	28	9422	0	0
1.651	2	1	166	2	1	28	9422	0	0
1.652	2	1	166	3	1	28	9422	0	0
1.653	2	1	166	4	1	28	9422	0	0
1.654	2	1	166	5	1	28	9422	0	0
1.655	2	1	166	6	1	28	9422	0	0
1.656	2	1	166	7	1	28	9422	0	0
1.657	2	1	166	8	1	28	9422	0	0
1.658	2	1	166	9	1	28	9422	0	0
1.659	2	1	166	10	1	28	9422	0	0
1.66	2	1	167	1	1	28	9422	0	0
1.661	2	1	167	2	1	28	9422	0	0
1.662	2	1	167	3	1	28	9422	0	0
1.663	2	1	167	4	1	28	9422	0	0
1.664	2	1	167	5	1	28	9422	0	0
1.665	2	1	167	6	1	28	9422	0	0
1.666	2	1	167	7	1	28	9422	0	0
1.667	1	1	167	8	1	28	9422	0	0
1.667	2	1	167	8	1	28	9422	0	0
1.668	2	1	167	9	1	28	9422	0	0
1.669	2	1	167	10	1	28	9422	0	0
1.67	2	1	168	1	1	28	9422	0	0
1.671	2	1	168	2	1	28	9422	0	0
1.672	2	1	168	3	1	28	9422	0	0
1.673	2	1	168	4	1	28	9422	0	0
1.674	2	1	168	5	1	28	9422	0	0
1.679	2	1	168	10	1	28	9422	0	0
1.68	2	1	169	1	1	28	9422	0	0
1.681	2	1	169	2	1	28	9422	0	0
1.682	2	1	169	3	1	28	9422	0	0
1.683	2	1	169	4	1	28	9422	0	0
1.684	2	1	169	5	1	28	9422	0	0
1.685	2	1	169	6	1	28	9422	0	0
1.686	2	1	169	7	1	28	9422	0	0
1.691	2	1	170	2	1	28	9422	0	0
1.692	2	1	170	3	1	28	9422	0	0
1.693	2	1	170	4	1	28	9422	0	0
1.694	2	1	170	5	1	28	9422	0	0
1.695	2	1	170	6	1	28	9422	0	0
1.696	2	1	170	7	1	28	9422	0	0
1.697	2	1	170	8	1	28	9422	0	0
1.698	2	1	170	9	1	28	9422	0	0
1.699	2	1	170	10	1	28	9422	0	0
1.7	2	1	171	1	1	28	9422	0	0
1.701	1	1	171	2	1	28	9422	0	0
1.701	2	1	171	2	1	28	9422	0	0
1.702	2	1	171	3	1	28	9422	0	0
1.703	2	1	171	4	1	28	9422	0	0
1.704	2	1	171	5	1	28	9422	0	0
1.705	2	1	171	6	1	28	9422	0	0
1.706	2	1	171	7	1	28	9422	0	0
1.707	2	1	171	8	1	28	9422	0	0
1.708	2	1	171	9	1	28	9422	0	0
1.709	2	1	171	10	1	28	9422	0	0
1.71	2	1	172	1	1	28	9422	0	0
1.711	2	1	172	2	1	28	9422	0	0
1.712	1	1	172	3	1	28	9422	0	0
1.712	2	1	172	3	1	28	9422	0	0
1.713	2	1	172	4	1	28	9422	0	0
1.718	2	1	172	9	1	28	9422	0	0
1.719	2	1	172	10	1	28	9422	0	0
1.72	2	1	173	1	1	28	9422	0	0
1.721	2	1	173	2	1	28	9422	0	0
1.722	2	1	173	3	1	28	9422	0	0
1.723	2	1	173	4	1	28	9422	0	0
1.724	2	1	173	5	1	28	9422	0	0
