% time	cellId	IMSI	RNTI	txMode	layer	mcs	size	rv	ndi	correct
1028	1	1	1	0	0	28	9422	0	1	1
1063	1	1	1	0	0	28	9422	0	1	1
1098	1	1	1	0	0	28	9422	0	1	1
1133	1	1	1	0	0	28	9422	0	1	1
1168	1	1	1	0	0	28	9422	0	1	1
1203	1	1	1	0	0	28	9422	0	1	1
1238	1	1	1	0	0	28	9422	0	1	1
1273	1	1	1	0	0	28	9422	0	1	1
1308	1	1	1	0	0	28	9422	0	1	1
1343	1	1	1	0	0	28	9422	0	1	1
1367	1	1	1	0	0	28	9422	0	1	1
1404	1	1	1	0	0	28	9422	0	1	1
1429	1	1	1	0	0	28	9422	0	1	1
1460	1	1	1	0	0	28	9422	0	1	1
1495	1	1	1	0	0	28	9422	0	1	1
1506	1	1	1	0	0	28	9422	0	1	1
1537	1	1	1	0	0	28	9422	0	1	1
1548	1	1	1	0	0	28	9422	0	1	1
1576	1	1	1	0	0	28	9422	0	1	1
1587	1	1	1	0	0	28	9422	0	1	1
1621	1	1	1	0	0	28	9422	0	1	1
1632	1	1	1	0	0	28	9422	0	1	1
1669	1	1	1	0	0	28	9422	0	1	1
1703	1	1	1	0	0	28	9422	0	1	1
1714	1	1	1	0	0	28	9422	0	1	1
1742	1	1	1	0	0	28	9422	0	1	1
1753	1	1	1	0	0	28	9422	0	1	1
1787	1	1	1	0	0	28	9422	0	1	1
1798	1	1	1	0	0	28	9422	0	1	1
1835	1	1	1	0	0	28	9422	0	1	1
1869	1	1	1	0	0	28	9422	0	1	1
1880	1	1	1	0	0	28	9422	0	1	1
1908	1	1	1	0	0	28	9422	0	1	1
1919	1	1	1	0	0	28	9422	0	1	1
1953	1	1	1	0	0	28	9422	0	1	1
1964	1	1	1	0	0	28	9422	0	1	1
2001	1	1	1	0	0	28	9422	0	1	1
2035	1	1	1	0	0	28	9422	0	1	1
2046	1	1	1	0	0	28	9422	0	1	1
2089	1	1	1	0	0	28	9422	0	1	1
2130	1	1	1	0	0	28	9422	0	1	1
2165	1	1	1	0	0	28	9422	0	1	1
2176	1	1	1	0	0	28	9422	0	1	1
2220	1	1	1	0	0	28	9422	0	1	1
2252	1	1	1	0	0	28	9422	0	1	1
2267	1	1	1	0	0	28	9422	0	1	1
2301	1	1	1	0	0	28	9422	0	1	1
2338	1	1	1	0	0	28	9422	0	1	1
2349	1	1	1	0	0	28	9422	0	1	1
2377	1	1	1	0	0	28	9422	0	1	1
2388	1	1	1	0	0	28	9422	0	1	1
2414	1	1	1	0	0	28	9422	0	1	1
2450	1	1	1	0	0	28	9422	0	1	1
2461	1	1	1	0	0	28	9422	0	1	1
2486	1	1	1	0	0	28	9422	0	1	1
2522	1	1	1	0	0	28	9422	0	1	1
2533	1	1	1	0	0	28	9422	0	1	1
2558	1	1	1	0	0	28	9422	0	1	1
2594	1	1	1	0	0	28	9422	0	1	1
2605	1	1	1	0	0	28	9422	0	1	1
2630	1	1	1	0	0	28	9422	0	1	1
2666	1	1	1	0	0	28	9422	0	1	1
2677	1	1	1	0	0	28	9422	0	1	1
2702	1	1	1	0	0	28	9422	0	1	1
2738	1	1	1	0	0	28	9422	0	1	1
2749	1	1	1	0	0	28	9422	0	1	1
2774	1	1	1	0	0	28	9422	0	1	1
2810	1	1	1	0	0	28	9422	0	1	1
2821	1	1	1	0	0	28	9422	0	1	1
2846	1	1	1	0	0	28	9422	0	1	1
2882	1	1	1	0	0	28	9422	0	1	1
2893	1	1	1	0	0	28	9422	0	1	1
2918	1	1	1	0	0	28	9422	0	1	1
2954	1	1	1	0	0	28	9422	0	1	1
2965	1	1	1	0	0	28	9422	0	1	1
2990	1	1	1	0	0	28	9422	0	1	1
3026	1	1	1	0	0	28	9422	0	1	1
3037	1	1	1	0	0	28	9422	0	1	1
3062	1	1	1	0	0	28	9422	0	1	1
3098	1	1	1	0	0	28	9422	0	1	1
3109	1	1	1	0	0	28	9422	0	1	1
3134	1	1	1	0	0	28	9422	0	1	1
3170	1	1	1	0	0	28	9422	0	1	1
3181	1	1	1	0	0	28	9422	0	1	1
3206	1	1	1	0	0	28	9422	0	1	1
3242	1	1	1	0	0	28	9422	0	1	1
3253	1	1	1	0	0	28	9422	0	1	1
3278	1	1	1	0	0	28	9422	0	1	1
3314	1	1	1	0	0	28	9422	0	1	1
3325	1	1	1	0	0	28	9422	0	1	1
3351	1	1	1	0	0	28	9422	0	1	1
