% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi
1013	2	1	1	0	28	9422	0	1
1028	1	1	1	0	28	9422	0	1
1048	2	1	1	0	28	9422	0	1
1063	1	1	1	0	28	9422	0	1
1083	2	1	1	0	28	9422	0	1
1098	1	1	1	0	28	9422	0	1
1118	2	1	1	0	28	9422	0	1
1133	1	1	1	0	28	9422	0	1
1153	2	1	1	0	28	9422	0	1
1168	1	1	1	0	28	9422	0	1
1188	2	1	1	0	28	9422	0	1
1203	1	1	1	0	28	9422	0	1
1223	2	1	1	0	28	9422	0	1
1224	2	1	1	0	28	9422	0	1
1238	1	1	1	0	28	9422	0	1
1258	2	1	1	0	28	9422	0	1
1259	2	1	1	0	28	9422	0	1
1273	1	1	1	0	28	9422	0	1
1293	2	1	1	0	28	9422	0	1
1294	2	1	1	0	28	9422	0	1
1295	2	1	1	0	28	9422	0	1
1308	1	1	1	0	28	9422	0	1
1328	2	1	1	0	28	9422	0	1
1329	2	1	1	0	28	9422	0	1
1330	2	1	1	0	28	9422	0	1
1331	2	1	1	0	28	9422	0	1
1332	2	1	1	0	28	9422	0	1
1343	1	1	1	0	28	9422	0	1
1363	2	1	1	0	28	9422	0	1
1364	2	1	1	0	28	9422	0	1
1365	2	1	1	0	28	9422	0	1
1366	2	1	1	0	28	9422	0	1
1367	1	1	1	0	28	9422	0	1
1367	2	1	1	0	28	9422	0	1
1368	2	1	1	0	28	9422	0	1
1369	2	1	1	0	28	9422	0	1
1370	2	1	1	0	28	9422	0	1
1392	2	1	1	0	28	9422	0	1
1393	2	1	1	0	28	9422	0	1
1394	2	1	1	0	28	9422	0	1
1404	1	1	1	0	28	9422	0	1
1429	1	1	1	0	28	9422	0	1
1449	2	1	1	0	28	9422	0	1
1450	2	1	1	0	28	9422	0	1
1451	2	1	1	0	28	9422	0	1
1452	2	1	1	0	28	9422	0	1
1453	2	1	1	0	28	9422	0	1
1454	2	1	1	0	28	9422	0	1
1455	2	1	1	0	28	9422	0	1
1456	2	1	1	0	28	9422	0	1
1457	2	1	1	0	28	9422	0	1
1458	2	1	1	0	28	9422	0	1
1459	2	1	1	0	28	9422	0	1
1460	1	1	1	0	28	9422	0	1
1460	2	1	1	0	28	9422	0	1
1461	2	1	1	0	28	9422	0	1
1462	2	1	1	0	28	9422	0	1
1463	2	1	1	0	28	9422	0	1
1464	2	1	1	0	28	9422	0	1
1465	2	1	1	0	28	9422	0	1
1466	2	1	1	0	28	9422	0	1
1467	2	1	1	0	28	9422	0	1
1468	2	1	1	0	28	9422	0	1
1473	2	1	1	0	28	9422	0	1
1474	2	1	1	0	28	9422	0	1
1475	2	1	1	0	28	9422	0	1
1476	2	1	1	0	28	9422	0	1
1477	2	1	1	0	28	9422	0	1
1478	2	1	1	0	28	9422	0	1
1479	2	1	1	0	28	9422	0	1
1480	2	1	1	0	28	9422	0	1
1485	2	1	1	0	28	9422	0	1
1486	2	1	1	0	28	9422	0	1
1487	2	1	1	0	28	9422	0	1
1488	2	1	1	0	28	9422	0	1
1489	2	1	1	0	28	9422	0	1
1490	2	1	1	0	28	9422	0	1
1491	2	1	1	0	28	9422	0	1
1492	2	1	1	0	28	9422	0	1
1493	2	1	1	0	28	9422	0	1
1494	2	1	1	0	28	9422	0	1
