% time	cellId	Interference
1.02593	1	5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 
1.02593	2	5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 
1.06093	1	5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 
1.06093	2	5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 
1.09593	1	5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 
1.09593	2	5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 
1.13093	1	5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 
1.13093	2	5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 
1.16593	1	5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 
1.16593	2	5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 5.55557e-15 
