% time	cellId	IMSI	frame	sframe	RNTI	mcs	size
1.019	1	1	102	10	1	2	573
1.019	2	1	102	10	1	2	573
1.054	1	1	106	5	1	2	573
1.054	2	1	106	5	1	2	573
1.089	1	1	109	10	1	2	573
1.089	2	1	109	10	1	2	573
1.124	1	1	113	5	1	2	573
1.124	2	1	113	5	1	2	573
1.159	1	1	116	10	1	2	573
1.159	2	1	116	10	1	2	573
1.194	1	1	120	5	1	2	573
1.194	2	1	120	5	1	2	573
1.229	1	1	123	10	1	2	573
1.229	2	1	123	10	1	2	573
1.23	1	1	124	1	1	2	573
1.23	2	1	124	1	1	2	573
1.264	1	1	127	5	1	2	573
1.264	2	1	127	5	1	2	573
1.265	1	1	127	6	1	2	573
1.265	2	1	127	6	1	2	573
1.299	1	1	130	10	1	2	573
1.299	2	1	130	10	1	2	573
1.3	1	1	131	1	1	2	573
1.3	2	1	131	1	1	2	573
1.301	1	1	131	2	1	2	573
1.301	2	1	131	2	1	2	573
1.334	1	1	134	5	1	2	573
1.334	2	1	134	5	1	2	573
1.335	1	1	134	6	1	2	573
1.335	2	1	134	6	1	2	573
1.336	1	1	134	7	1	2	573
1.336	2	1	134	7	1	2	573
1.337	1	1	134	8	1	2	573
1.337	2	1	134	8	1	2	573
1.338	1	1	134	9	1	2	573
1.338	2	1	134	9	1	2	573
1.339	1	1	134	10	1	2	573
1.358	1	1	136	9	1	28	9422
1.363	1	1	137	4	1	2	573
1.369	1	1	137	10	1	28	9422
1.369	2	1	137	10	1	2	573
1.37	1	1	138	1	1	28	9422
1.37	2	1	138	1	1	2	573
1.371	1	1	138	2	1	28	9422
1.371	2	1	138	2	1	2	573
1.372	1	1	138	3	1	28	9422
1.372	2	1	138	3	1	2	573
1.373	1	1	138	4	1	28	9422
1.373	2	1	138	4	1	2	573
1.374	1	1	138	5	1	28	9422
1.374	2	1	138	5	1	2	573
1.375	1	1	138	6	1	28	9422
1.375	2	1	138	6	1	2	573
1.376	1	1	138	7	1	28	9422
1.395	1	1	140	6	1	2	573
1.396	1	1	140	7	1	2	573
1.397	1	1	140	8	1	2	573
1.398	1	1	140	9	1	2	573
1.398	2	1	140	9	1	2	573
1.399	1	1	140	10	1	2	573
1.399	2	1	140	10	1	2	573
1.4	1	1	141	1	1	2	573
1.4	2	1	141	1	1	2	573
1.401	1	1	141	2	1	2	573
1.402	1	1	141	3	1	28	9422
1.42	1	1	143	1	1	28	9422
1.423	1	1	143	4	1	28	9422
1.44	1	1	145	1	1	28	9422
1.451	1	1	146	2	1	2	573
1.455	1	1	146	6	1	2	573
1.455	2	1	146	6	1	2	573
1.456	1	1	146	7	1	2	573
1.456	2	1	146	7	1	2	573
1.457	1	1	146	8	1	2	573
1.457	2	1	146	8	1	2	573
1.458	1	1	146	9	1	28	9422
1.458	2	1	146	9	1	2	573
1.459	1	1	146	10	1	28	9422
1.459	2	1	146	10	1	2	573
1.46	1	1	147	1	1	28	9422
1.46	2	1	147	1	1	2	573
1.461	1	1	147	2	1	28	9422
1.461	2	1	147	2	1	2	573
1.462	1	1	147	3	1	2	573
1.462	2	1	147	3	1	2	573
1.463	1	1	147	4	1	28	9422
1.464	1	1	147	5	1	28	9422
1.465	1	1	147	6	1	28	9422
1.466	1	1	147	7	1	28	9422
1.486	1	1	149	7	1	2	573
1.486	2	1	149	7	1	2	573
1.487	1	1	149	8	1	2	573
1.488	1	1	149	9	1	2	573
1.489	1	1	149	10	1	2	573
1.49	1	1	150	1	1	2	573
1.494	1	1	150	5	1	28	9422
1.495	1	1	150	6	1	28	9422
1.496	1	1	150	7	1	28	9422
1.497	1	1	150	8	1	28	9422
1.498	1	1	150	9	1	28	9422
1.499	1	1	150	10	1	28	9422
1.5	1	1	151	1	1	28	9422
1.501	1	1	151	2	1	28	9422
1.502	1	1	151	3	1	28	9422
1.503	1	1	151	4	1	28	9422
1.504	1	1	151	5	1	28	9422
1.504	2	1	151	5	1	2	573
1.505	1	1	151	6	1	28	9422
1.505	2	1	151	6	1	2	573
1.506	1	1	151	7	1	28	9422
1.506	2	1	151	7	1	2	573
1.507	1	1	151	8	1	28	9422
1.507	2	1	151	8	1	2	573
1.508	1	1	151	9	1	28	9422
1.508	2	1	151	9	1	2	573
1.528	1	1	153	9	1	2	573
1.529	1	1	153	10	1	2	573
1.53	1	1	154	1	1	2	573
1.533	1	1	154	4	1	2	573
1.533	2	1	154	4	1	2	573
1.534	1	1	154	5	1	2	573
1.534	2	1	154	5	1	2	573
1.535	1	1	154	6	1	28	9422
1.535	2	1	154	6	1	2	573
1.536	1	1	154	7	1	28	9422
1.536	2	1	154	7	1	2	573
1.537	1	1	154	8	1	28	9422
1.537	2	1	154	8	1	2	573
1.538	1	1	154	9	1	28	9422
1.538	2	1	154	9	1	2	573
1.539	1	1	154	10	1	28	9422
1.539	2	1	154	10	1	2	573
1.54	1	1	155	1	1	2	573
1.54	2	1	155	1	1	2	573
1.541	1	1	155	2	1	28	9422
1.542	1	1	155	3	1	28	9422
1.543	1	1	155	4	1	28	9422
1.544	1	1	155	5	1	28	9422
1.545	1	1	155	6	1	28	9422
1.546	1	1	155	7	1	28	9422
1.547	1	1	155	8	1	28	9422
1.567	1	1	157	8	1	2	573
1.567	2	1	157	8	1	2	573
1.568	1	1	157	9	1	2	573
1.578	1	1	158	9	1	2	573
1.579	1	1	158	10	1	2	573
1.58	1	1	159	1	1	2	573
1.581	1	1	159	2	1	2	573
1.582	1	1	159	3	1	2	573
1.583	1	1	159	4	1	2	573
1.584	1	1	159	5	1	2	573
1.585	1	1	159	6	1	28	9422
1.585	2	1	159	6	1	2	573
1.586	1	1	159	7	1	28	9422
1.586	2	1	159	7	1	2	573
1.587	1	1	159	8	1	28	9422
1.587	2	1	159	8	1	2	573
1.588	1	1	159	9	1	28	9422
1.588	2	1	159	9	1	2	573
1.589	1	1	159	10	1	28	9422
1.589	2	1	159	10	1	2	573
1.59	1	1	160	1	1	28	9422
1.59	2	1	160	1	1	2	573
1.591	1	1	160	2	1	28	9422
1.591	2	1	160	2	1	2	573
1.592	1	1	160	3	1	28	9422
1.592	2	1	160	3	1	2	573
1.593	1	1	160	4	1	2	573
1.594	1	1	160	5	1	2	573
1.595	1	1	160	6	1	2	573
1.596	1	1	160	7	1	2	573
1.597	1	1	160	8	1	2	573
1.598	1	1	160	9	1	2	573
1.612	1	1	162	3	1	2	573
1.613	1	1	162	4	1	2	573
1.614	1	1	162	5	1	2	573
1.615	1	1	162	6	1	2	573
1.616	1	1	162	7	1	2	573
1.617	1	1	162	8	1	2	573
1.617	2	1	162	8	1	2	573
1.618	1	1	162	9	1	2	573
1.618	2	1	162	9	1	2	573
1.619	1	1	162	10	1	28	9422
1.619	2	1	162	10	1	2	573
1.62	1	1	163	1	1	28	9422
1.62	2	1	163	1	1	2	573
1.621	1	1	163	2	1	28	9422
1.621	2	1	163	2	1	2	573
1.622	1	1	163	3	1	28	9422
1.622	2	1	163	3	1	2	573
1.623	1	1	163	4	1	28	9422
1.623	2	1	163	4	1	2	573
1.624	1	1	163	5	1	2	573
1.624	2	1	163	5	1	2	573
1.625	1	1	163	6	1	28	9422
1.626	1	1	163	7	1	28	9422
1.627	1	1	163	8	1	28	9422
1.628	1	1	163	9	1	28	9422
1.629	1	1	163	10	1	28	9422
1.63	1	1	164	1	1	28	9422
1.65	2	1	166	1	1	2	573
1.66	1	1	167	1	1	2	573
1.661	1	1	167	2	1	2	573
1.662	1	1	167	3	1	2	573
1.663	1	1	167	4	1	2	573
1.664	1	1	167	5	1	2	573
1.665	1	1	167	6	1	2	573
1.666	1	1	167	7	1	2	573
1.667	1	1	167	8	1	28	9422
1.668	1	1	167	9	1	28	9422
1.668	2	1	167	9	1	28	9422
1.669	1	1	167	10	1	28	9422
1.669	2	1	167	10	1	28	9422
1.67	1	1	168	1	1	28	9422
1.67	2	1	168	1	1	28	9422
1.671	1	1	168	2	1	28	9422
1.671	2	1	168	2	1	28	9422
1.672	1	1	168	3	1	28	9422
1.672	2	1	168	3	1	28	9422
1.673	1	1	168	4	1	28	9422
1.673	2	1	168	4	1	28	9422
1.674	1	1	168	5	1	28	9422
1.674	2	1	168	5	1	28	9422
1.694	1	1	170	5	1	2	573
1.695	1	1	170	6	1	2	573
1.696	1	1	170	7	1	2	573
1.697	1	1	170	8	1	2	573
1.698	1	1	170	9	1	2	573
1.699	1	1	170	10	1	2	573
1.699	2	1	170	10	1	2	573
1.7	1	1	171	1	1	2	573
1.7	2	1	171	1	1	2	573
1.701	1	1	171	2	1	28	9422
1.701	2	1	171	2	1	2	573
1.702	1	1	171	3	1	28	9422
1.702	2	1	171	3	1	2	573
1.703	1	1	171	4	1	28	9422
1.703	2	1	171	4	1	2	573
1.704	1	1	171	5	1	28	9422
1.704	2	1	171	5	1	2	573
1.705	1	1	171	6	1	28	9422
1.705	2	1	171	6	1	2	573
1.706	1	1	171	7	1	2	573
1.706	2	1	171	7	1	2	573
1.707	1	1	171	8	1	28	9422
1.708	1	1	171	9	1	28	9422
1.709	1	1	171	10	1	28	9422
1.71	1	1	172	1	1	28	9422
1.711	1	1	172	2	1	28	9422
1.712	1	1	172	3	1	28	9422
1.713	1	1	172	4	1	28	9422
1.733	1	1	174	4	1	2	573
1.733	2	1	174	4	1	2	573
1.734	1	1	174	5	1	2	573
1.744	1	1	175	5	1	2	573
1.745	1	1	175	6	1	2	573
1.746	1	1	175	7	1	2	573
1.747	1	1	175	8	1	2	573
1.748	1	1	175	9	1	2	573
1.749	1	1	175	10	1	2	573
1.75	1	1	176	1	1	2	573
1.751	1	1	176	2	1	28	9422
1.751	2	1	176	2	1	2	573
1.752	1	1	176	3	1	28	9422
1.752	2	1	176	3	1	2	573
1.753	1	1	176	4	1	28	9422
1.753	2	1	176	4	1	2	573
1.754	1	1	176	5	1	28	9422
1.754	2	1	176	5	1	2	573
1.755	1	1	176	6	1	28	9422
1.755	2	1	176	6	1	2	573
1.756	1	1	176	7	1	28	9422
1.756	2	1	176	7	1	2	573
1.757	1	1	176	8	1	28	9422
1.757	2	1	176	8	1	2	573
1.758	1	1	176	9	1	28	9422
1.758	2	1	176	9	1	2	573
1.759	1	1	176	10	1	2	573
1.76	1	1	177	1	1	2	573
1.761	1	1	177	2	1	2	573
1.762	1	1	177	3	1	2	573
