% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct
1025	1	1	1	0	2	573	0	1	1
1025	2	1	1	0	2	573	0	1	1
1060	1	1	1	0	2	573	0	1	1
1060	2	1	1	0	2	573	0	1	1
1095	1	1	1	0	2	573	0	1	1
1095	2	1	1	0	2	573	0	1	1
1130	1	1	1	0	2	573	0	1	1
1130	2	1	1	0	2	573	0	1	1
1165	1	1	1	0	2	573	0	1	1
1165	2	1	1	0	2	573	0	1	1
1200	1	1	1	0	2	573	0	1	1
1200	2	1	1	0	2	573	0	1	1
1235	1	1	1	0	2	573	0	1	1
1235	2	1	1	0	2	573	0	1	1
1270	1	1	1	0	2	573	0	1	1
1270	2	1	1	0	2	573	0	1	1
1305	1	1	1	0	2	573	0	1	1
1305	2	1	1	0	2	573	0	1	1
1340	1	1	1	0	2	573	0	1	1
1340	2	1	1	0	2	573	0	1	1
1341	1	1	1	0	2	573	0	1	1
1364	1	1	1	0	28	9422	0	1	1
1369	1	1	1	0	2	573	0	1	1
1375	1	1	1	0	28	9422	0	1	0
1375	2	1	1	0	2	573	0	1	1
1401	1	1	1	0	2	573	0	1	1
1404	2	1	1	0	2	573	0	1	1
1426	1	1	1	0	28	9422	0	1	1
1429	1	1	1	0	28	9422	0	1	1
1457	1	1	1	0	2	573	0	1	1
1461	1	1	1	0	2	573	0	1	1
1461	2	1	1	0	2	573	0	1	1
1462	1	1	1	0	2	573	0	1	1
1463	1	1	1	0	2	573	0	1	1
1464	1	1	1	0	28	9422	0	1	1
1465	1	1	1	0	28	9422	0	1	1
1492	1	1	1	0	2	573	0	1	1
1492	2	1	1	0	2	573	0	1	1
1493	1	1	1	0	2	573	0	1	1
1494	1	1	1	0	2	573	0	1	1
1495	1	1	1	0	2	573	0	1	1
1496	1	1	1	0	2	573	0	1	1
1500	1	1	1	0	28	9422	0	1	1
1501	1	1	1	0	28	9422	0	1	1
1502	1	1	1	0	28	9422	0	1	1
1503	1	1	1	0	28	9422	0	1	1
1504	1	1	1	0	28	9422	0	1	1
1505	1	1	1	0	28	9422	0	1	1
1506	1	1	1	0	28	9422	0	1	1
1507	1	1	1	0	28	9422	0	1	1
1510	2	1	1	0	2	573	0	1	1
1534	1	1	1	0	2	573	0	1	1
1535	1	1	1	0	2	573	0	1	1
1536	1	1	1	0	2	573	0	1	1
1539	1	1	1	0	2	573	0	1	1
1539	2	1	1	0	2	573	0	1	1
1540	1	1	1	0	2	573	0	1	1
1541	1	1	1	0	28	9422	0	1	1
1542	1	1	1	0	28	9422	0	1	1
1543	1	1	1	0	28	9422	0	1	1
1544	1	1	1	0	28	9422	0	1	1
1545	1	1	1	0	28	9422	0	1	1
1546	1	1	1	0	2	573	0	1	1
1573	1	1	1	0	2	573	0	1	1
1573	2	1	1	0	2	573	0	1	1
1584	1	1	1	0	2	573	0	1	1
1585	1	1	1	0	2	573	0	1	1
1586	1	1	1	0	2	573	0	1	1
1587	1	1	1	0	2	573	0	1	1
1588	1	1	1	0	2	573	0	1	1
1589	1	1	1	0	2	573	0	1	1
1590	1	1	1	0	2	573	0	1	1
1591	1	1	1	0	28	9422	0	1	0
1591	2	1	1	0	2	573	0	1	1
1618	1	1	1	0	2	573	0	1	1
1619	1	1	1	0	2	573	0	1	1
1620	1	1	1	0	2	573	0	1	1
1621	1	1	1	0	2	573	0	1	1
1622	1	1	1	0	2	573	0	1	1
1623	1	1	1	0	2	573	0	1	1
1623	2	1	1	0	2	573	0	1	1
1624	1	1	1	0	2	573	0	1	1
1625	1	1	1	0	28	9422	0	1	1
1626	1	1	1	0	28	9422	0	1	1
1627	1	1	1	0	28	9422	0	1	1
1628	1	1	1	0	28	9422	0	1	1
1629	1	1	1	0	28	9422	0	1	1
1656	2	1	1	0	2	573	0	1	1
1666	1	1	1	0	2	573	0	1	1
1667	1	1	1	0	2	573	0	1	1
1668	1	1	1	0	2	573	0	1	1
1669	1	1	1	0	2	573	0	1	1
1670	1	1	1	0	2	573	0	1	1
1671	1	1	1	0	2	573	0	1	1
1672	1	1	1	0	2	573	0	1	1
1673	1	1	1	0	28	9422	0	1	1
1674	2	1	1	0	28	9422	0	1	1
1700	1	1	1	0	2	573	0	1	1
1701	1	1	1	0	2	573	0	1	1
1702	1	1	1	0	2	573	0	1	1
1703	1	1	1	0	2	573	0	1	1
1704	1	1	1	0	2	573	0	1	1
1705	1	1	1	0	2	573	0	1	1
1705	2	1	1	0	2	573	0	1	1
1706	1	1	1	0	2	573	0	1	1
1707	1	1	1	0	28	9422	0	1	1
1708	1	1	1	0	28	9422	0	1	1
1709	1	1	1	0	28	9422	0	1	1
1710	1	1	1	0	28	9422	0	1	1
1711	1	1	1	0	28	9422	0	1	1
1712	1	1	1	0	2	573	0	1	1
1739	1	1	1	0	2	573	0	1	1
1739	2	1	1	0	2	573	0	1	1
1750	1	1	1	0	2	573	0	1	1
1751	1	1	1	0	2	573	0	1	1
1752	1	1	1	0	2	573	0	1	1
1753	1	1	1	0	2	573	0	1	1
1754	1	1	1	0	2	573	0	1	1
1755	1	1	1	0	2	573	0	1	1
1756	1	1	1	0	2	573	0	1	1
1757	1	1	1	0	28	9422	0	1	0
1757	2	1	1	0	2	573	0	1	1
1784	1	1	1	0	2	573	0	1	1
1785	1	1	1	0	2	573	0	1	1
1786	1	1	1	0	2	573	0	1	1
1787	1	1	1	0	2	573	0	1	1
1788	1	1	1	0	2	573	0	1	1
1789	1	1	1	0	2	573	0	1	1
1789	2	1	1	0	2	573	0	1	1
1790	1	1	1	0	2	573	0	1	1
1791	1	1	1	0	28	9422	0	1	1
1792	1	1	1	0	28	9422	0	1	1
1793	1	1	1	0	28	9422	0	1	1
1794	1	1	1	0	28	9422	0	1	1
1795	1	1	1	0	28	9422	0	1	1
1822	2	1	1	0	2	573	0	1	1
1832	1	1	1	0	2	573	0	1	1
1833	1	1	1	0	2	573	0	1	1
1834	1	1	1	0	2	573	0	1	1
1835	1	1	1	0	2	573	0	1	1
1836	1	1	1	0	2	573	0	1	1
1837	1	1	1	0	2	573	0	1	1
1838	1	1	1	0	2	573	0	1	1
1839	1	1	1	0	28	9422	0	1	1
1840	2	1	1	0	28	9422	0	1	1
1866	1	1	1	0	2	573	0	1	1
1867	1	1	1	0	2	573	0	1	1
1868	1	1	1	0	2	573	0	1	1
1869	1	1	1	0	2	573	0	1	1
1870	1	1	1	0	2	573	0	1	1
1871	1	1	1	0	2	573	0	1	1
1871	2	1	1	0	2	573	0	1	1
1872	1	1	1	0	2	573	0	1	1
1873	1	1	1	0	28	9422	0	1	1
1874	1	1	1	0	28	9422	0	1	1
1875	1	1	1	0	28	9422	0	1	1
1876	1	1	1	0	28	9422	0	1	1
1877	1	1	1	0	28	9422	0	1	1
1878	1	1	1	0	2	573	0	1	1
1905	1	1	1	0	2	573	0	1	1
1905	2	1	1	0	2	573	0	1	1
1916	1	1	1	0	2	573	0	1	1
1917	1	1	1	0	2	573	0	1	1
1918	1	1	1	0	2	573	0	1	1
1919	1	1	1	0	2	573	0	1	1
1920	1	1	1	0	2	573	0	1	1
1921	1	1	1	0	2	573	0	1	1
1922	1	1	1	0	2	573	0	1	1
1923	1	1	1	0	28	9422	0	1	0
1923	2	1	1	0	2	573	0	1	1
1950	1	1	1	0	2	573	0	1	1
1951	1	1	1	0	2	573	0	1	1
1952	1	1	1	0	2	573	0	1	1
1953	1	1	1	0	2	573	0	1	1
1954	1	1	1	0	2	573	0	1	1
1955	1	1	1	0	2	573	0	1	1
1955	2	1	1	0	2	573	0	1	1
1956	1	1	1	0	2	573	0	1	1
1957	1	1	1	0	28	9422	0	1	1
1958	1	1	1	0	28	9422	0	1	1
1959	1	1	1	0	28	9422	0	1	1
1960	1	1	1	0	28	9422	0	1	1
1961	1	1	1	0	28	9422	0	1	1
1988	2	1	1	0	2	573	0	1	1
1998	1	1	1	0	28	9422	0	1	1
1999	1	1	1	0	28	9422	0	1	1
2000	1	1	1	0	28	9422	0	1	1
2001	1	1	1	0	28	9422	0	1	1
2002	1	1	1	0	28	9422	0	1	1
2003	1	1	1	0	28	9422	0	1	1
2004	1	1	1	0	28	9422	0	1	1
2005	1	1	1	0	28	9422	0	1	1
2006	2	1	1	0	28	9422	0	1	1
2032	1	1	1	0	28	9422	0	1	1
2033	1	1	1	0	28	9422	0	1	1
2037	1	1	1	0	28	9422	0	1	0
2037	2	1	1	0	28	9422	0	1	0
2038	1	1	1	0	28	9422	0	1	1
2039	1	1	1	0	28	9422	0	1	1
2040	1	1	1	0	28	9422	0	1	1
2041	1	1	1	0	28	9422	0	1	1
2042	1	1	1	0	28	9422	0	1	1
2043	1	1	1	0	28	9422	0	1	1
2044	1	1	1	0	28	9422	1	0	1
2045	1	1	1	0	28	9422	0	1	1
2071	1	1	1	0	28	9422	0	1	0
2071	2	1	1	0	2	573	0	1	1
2086	1	1	1	0	2	573	0	1	1
2087	1	1	1	0	2	573	0	1	1
2088	1	1	1	0	2	573	0	1	1
2089	1	1	1	0	2	573	0	1	1
2089	2	1	1	0	2	573	0	1	1
2090	1	1	1	0	2	573	0	1	1
2091	1	1	1	0	2	573	0	1	1
2092	1	1	1	0	2	573	0	1	1
2093	1	1	1	0	28	9422	0	1	1
2120	1	1	1	0	28	9422	0	1	0
2120	2	1	1	0	2	573	0	1	1
2121	1	1	1	0	28	9422	0	1	1
2127	1	1	1	0	28	9422	1	0	1
2128	1	1	1	0	28	9422	0	1	1
2129	1	1	1	0	28	9422	0	1	1
2130	1	1	1	0	28	9422	0	1	1
2131	1	1	1	0	28	9422	0	1	1
2132	1	1	1	0	28	9422	0	1	1
2133	1	1	1	0	28	9422	0	1	1
2134	1	1	1	0	28	9422	0	1	1
2135	1	1	1	0	28	9422	0	1	1
2138	2	1	1	0	2	573	0	1	1
2162	1	1	1	0	28	9422	0	1	1
2163	1	1	1	0	28	9422	0	1	1
2168	2	1	1	0	2	573	0	1	1
2169	1	1	1	0	28	9422	0	1	1
2170	1	1	1	0	28	9422	0	1	1
2171	1	1	1	0	28	9422	0	1	1
2172	1	1	1	0	28	9422	0	1	1
2173	1	1	1	0	28	9422	0	1	1
2174	1	1	1	0	28	9422	0	1	1
2175	1	1	1	0	28	9422	0	1	1
2176	1	1	1	0	28	9422	0	1	1
2203	1	1	1	0	28	9422	0	1	0
2203	2	1	1	0	28	9422	0	1	0
2210	2	1	1	0	28	9422	1	0	1
2215	1	1	1	0	2	573	0	1	1
2216	1	1	1	0	2	573	0	1	1
2217	1	1	1	0	2	573	0	1	1
2218	1	1	1	0	2	573	0	1	1
2219	1	1	1	0	2	573	0	1	1
2220	1	1	1	0	2	573	0	1	1
