% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi
1025	1	1	1	0	2	573	0	1
1060	1	1	1	0	2	573	0	1
1095	1	1	1	0	2	573	0	1
1130	1	1	1	0	2	573	0	1
1165	1	1	1	0	2	573	0	1
1200	1	1	1	0	2	573	0	1
1235	1	1	1	0	2	573	0	1
1236	1	1	1	0	2	573	0	1
1270	1	1	1	0	2	573	0	1
1271	1	1	1	0	2	573	0	1
1305	1	1	1	0	2	573	0	1
1306	1	1	1	0	2	573	0	1
1307	1	1	1	0	2	573	0	1
1340	1	1	1	0	2	573	0	1
1341	1	1	1	0	2	573	0	1
1342	1	1	1	0	2	573	0	1
1343	1	1	1	0	2	573	0	1
1344	1	1	1	0	2	573	0	1
1345	1	1	1	0	2	573	0	1
1364	1	1	1	0	28	9422	0	1
1369	1	1	1	0	2	573	0	1
1375	1	1	1	0	28	9422	0	1
1376	1	1	1	0	28	9422	0	1
1377	1	1	1	0	28	9422	0	1
1378	1	1	1	0	28	9422	0	1
1379	1	1	1	0	28	9422	0	1
1380	1	1	1	0	28	9422	0	1
1381	1	1	1	0	28	9422	0	1
1382	1	1	1	0	28	9422	0	0
1401	1	1	1	0	2	573	0	1
1402	1	1	1	0	2	573	0	1
1403	1	1	1	0	2	573	0	1
1404	1	1	1	0	2	573	0	1
1405	1	1	1	0	2	573	0	1
1406	1	1	1	0	2	573	0	1
1407	1	1	1	0	2	573	0	1
1408	1	1	1	0	28	9422	0	1
1426	1	1	1	0	28	9422	0	1
1429	1	1	1	0	28	9422	0	1
1446	1	1	1	0	28	9422	0	1
1457	1	1	1	0	2	573	0	1
1461	1	1	1	0	2	573	0	1
1462	1	1	1	0	2	573	0	1
1463	1	1	1	0	2	573	0	1
1464	1	1	1	0	28	9422	0	1
1465	1	1	1	0	28	9422	0	1
1466	1	1	1	0	28	9422	0	1
1467	1	1	1	0	28	9422	0	1
1468	1	1	1	0	2	573	0	1
1469	1	1	1	0	28	9422	0	1
1470	1	1	1	0	28	9422	0	1
1471	1	1	1	0	28	9422	0	1
1472	1	1	1	0	28	9422	0	1
1492	1	1	1	0	2	573	0	1
1493	1	1	1	0	2	573	0	1
1494	1	1	1	0	2	573	0	1
1495	1	1	1	0	2	573	0	1
1496	1	1	1	0	2	573	0	1
1500	1	1	1	0	28	9422	0	1
1501	1	1	1	0	28	9422	0	1
1502	1	1	1	0	28	9422	0	1
1503	1	1	1	0	28	9422	0	1
1504	1	1	1	0	28	9422	0	1
1505	1	1	1	0	28	9422	0	1
1506	1	1	1	0	28	9422	0	1
1507	1	1	1	0	28	9422	0	1
1508	1	1	1	0	28	9422	0	1
1509	1	1	1	0	28	9422	0	1
1510	1	1	1	0	28	9422	0	1
1511	1	1	1	0	28	9422	0	1
1512	1	1	1	0	28	9422	0	1
1513	1	1	1	0	28	9422	0	1
1514	1	1	1	0	28	9422	0	1
1534	1	1	1	0	2	573	0	1
1535	1	1	1	0	2	573	0	1
1536	1	1	1	0	2	573	0	1
1539	1	1	1	0	2	573	0	1
1540	1	1	1	0	2	573	0	1
1541	1	1	1	0	28	9422	0	1
1542	1	1	1	0	28	9422	0	1
1543	1	1	1	0	28	9422	0	1
1544	1	1	1	0	28	9422	0	1
1545	1	1	1	0	28	9422	0	1
1546	1	1	1	0	2	573	0	1
1547	1	1	1	0	28	9422	0	1
1548	1	1	1	0	28	9422	0	1
1549	1	1	1	0	28	9422	0	1
1550	1	1	1	0	28	9422	0	1
1551	1	1	1	0	28	9422	0	1
1552	1	1	1	0	28	9422	0	1
1553	1	1	1	0	28	9422	0	1
1573	1	1	1	0	2	573	0	1
1574	1	1	1	0	2	573	0	1
1584	1	1	1	0	2	573	0	1
1585	1	1	1	0	2	573	0	1
1586	1	1	1	0	2	573	0	1
1587	1	1	1	0	2	573	0	1
1588	1	1	1	0	2	573	0	1
1589	1	1	1	0	2	573	0	1
1590	1	1	1	0	2	573	0	1
1591	1	1	1	0	28	9422	0	1
1592	1	1	1	0	28	9422	0	1
1593	1	1	1	0	28	9422	0	1
1594	1	1	1	0	28	9422	0	1
1595	1	1	1	0	28	9422	0	1
1596	1	1	1	0	28	9422	0	1
1597	1	1	1	0	28	9422	0	1
1598	1	1	1	0	28	9422	0	0
1599	1	1	1	0	2	573	0	1
1600	1	1	1	0	2	573	0	1
1601	1	1	1	0	2	573	0	1
1602	1	1	1	0	2	573	0	1
1603	1	1	1	0	2	573	0	1
1604	1	1	1	0	2	573	0	1
1618	1	1	1	0	2	573	0	1
1619	1	1	1	0	2	573	0	1
1620	1	1	1	0	2	573	0	1
1621	1	1	1	0	2	573	0	1
1622	1	1	1	0	2	573	0	1
1623	1	1	1	0	2	573	0	1
1624	1	1	1	0	2	573	0	1
1625	1	1	1	0	28	9422	0	1
1626	1	1	1	0	28	9422	0	1
1627	1	1	1	0	28	9422	0	1
1628	1	1	1	0	28	9422	0	1
1629	1	1	1	0	28	9422	0	1
1630	1	1	1	0	2	573	0	1
1631	1	1	1	0	28	9422	0	1
1632	1	1	1	0	28	9422	0	1
1633	1	1	1	0	28	9422	0	1
1634	1	1	1	0	28	9422	0	1
1635	1	1	1	0	28	9422	0	1
1636	1	1	1	0	28	9422	0	1
1666	1	1	1	0	2	573	0	1
1667	1	1	1	0	2	573	0	1
1668	1	1	1	0	2	573	0	1
1669	1	1	1	0	2	573	0	1
1670	1	1	1	0	2	573	0	1
1671	1	1	1	0	2	573	0	1
1672	1	1	1	0	2	573	0	1
1673	1	1	1	0	28	9422	0	1
1674	1	1	1	0	28	9422	0	1
1675	1	1	1	0	28	9422	0	1
1676	1	1	1	0	28	9422	0	1
1677	1	1	1	0	28	9422	0	1
1678	1	1	1	0	28	9422	0	1
1679	1	1	1	0	28	9422	0	1
1680	1	1	1	0	28	9422	0	1
1700	1	1	1	0	2	573	0	1
1701	1	1	1	0	2	573	0	1
1702	1	1	1	0	2	573	0	1
1703	1	1	1	0	2	573	0	1
1704	1	1	1	0	2	573	0	1
1705	1	1	1	0	2	573	0	1
1706	1	1	1	0	2	573	0	1
1707	1	1	1	0	28	9422	0	1
1708	1	1	1	0	28	9422	0	1
1709	1	1	1	0	28	9422	0	1
1710	1	1	1	0	28	9422	0	1
1711	1	1	1	0	28	9422	0	1
1712	1	1	1	0	2	573	0	1
1713	1	1	1	0	28	9422	0	1
1714	1	1	1	0	28	9422	0	1
1715	1	1	1	0	28	9422	0	1
1716	1	1	1	0	28	9422	0	1
1717	1	1	1	0	28	9422	0	1
1718	1	1	1	0	28	9422	0	1
1719	1	1	1	0	28	9422	0	1
1739	1	1	1	0	2	573	0	1
1740	1	1	1	0	2	573	0	1
1750	1	1	1	0	2	573	0	1
1751	1	1	1	0	2	573	0	1
1752	1	1	1	0	2	573	0	1
1753	1	1	1	0	2	573	0	1
1754	1	1	1	0	2	573	0	1
1755	1	1	1	0	2	573	0	1
1756	1	1	1	0	2	573	0	1
1757	1	1	1	0	28	9422	0	1
1758	1	1	1	0	28	9422	0	1
1759	1	1	1	0	28	9422	0	1
1760	1	1	1	0	28	9422	0	1
1761	1	1	1	0	28	9422	0	1
1762	1	1	1	0	28	9422	0	1
1763	1	1	1	0	28	9422	0	1
1764	1	1	1	0	28	9422	0	0
1765	1	1	1	0	2	573	0	1
1766	1	1	1	0	2	573	0	1
1767	1	1	1	0	2	573	0	1
1768	1	1	1	0	2	573	0	1
1769	1	1	1	0	2	573	0	1
1770	1	1	1	0	2	573	0	1
1784	1	1	1	0	2	573	0	1
1785	1	1	1	0	2	573	0	1
1786	1	1	1	0	2	573	0	1
1787	1	1	1	0	2	573	0	1
1788	1	1	1	0	2	573	0	1
1789	1	1	1	0	2	573	0	1
1790	1	1	1	0	2	573	0	1
1791	1	1	1	0	28	9422	0	1
1792	1	1	1	0	28	9422	0	1
1793	1	1	1	0	28	9422	0	1
1794	1	1	1	0	28	9422	0	1
1795	1	1	1	0	28	9422	0	1
1796	1	1	1	0	2	573	0	1
1797	1	1	1	0	28	9422	0	1
1798	1	1	1	0	28	9422	0	1
1799	1	1	1	0	28	9422	0	1
1800	1	1	1	0	28	9422	0	1
1801	1	1	1	0	28	9422	0	1
1802	1	1	1	0	28	9422	0	1
1832	1	1	1	0	2	573	0	1
1833	1	1	1	0	2	573	0	1
1834	1	1	1	0	2	573	0	1
1835	1	1	1	0	2	573	0	1
1836	1	1	1	0	2	573	0	1
1837	1	1	1	0	2	573	0	1
1838	1	1	1	0	2	573	0	1
1839	1	1	1	0	28	9422	0	1
1840	1	1	1	0	28	9422	0	1
1841	1	1	1	0	28	9422	0	1
1842	1	1	1	0	28	9422	0	1
1843	1	1	1	0	28	9422	0	1
1844	1	1	1	0	28	9422	0	1
1845	1	1	1	0	28	9422	0	1
1846	1	1	1	0	28	9422	0	1
1866	1	1	1	0	2	573	0	1
1867	1	1	1	0	2	573	0	1
1868	1	1	1	0	2	573	0	1
1869	1	1	1	0	2	573	0	1
1870	1	1	1	0	2	573	0	1
1871	1	1	1	0	2	573	0	1
1872	1	1	1	0	2	573	0	1
1873	1	1	1	0	28	9422	0	1
1874	1	1	1	0	28	9422	0	1
1875	1	1	1	0	28	9422	0	1
1876	1	1	1	0	28	9422	0	1
1877	1	1	1	0	28	9422	0	1
1878	1	1	1	0	2	573	0	1
1879	1	1	1	0	28	9422	0	1
1880	1	1	1	0	28	9422	0	1
1881	1	1	1	0	28	9422	0	1
1882	1	1	1	0	28	9422	0	1
1883	1	1	1	0	28	9422	0	1
1884	1	1	1	0	28	9422	0	1
1885	1	1	1	0	28	9422	0	1
1905	1	1	1	0	2	573	0	1
1906	1	1	1	0	2	573	0	1
1916	1	1	1	0	2	573	0	1
1917	1	1	1	0	2	573	0	1
1918	1	1	1	0	2	573	0	1
1919	1	1	1	0	2	573	0	1
1920	1	1	1	0	2	573	0	1
1921	1	1	1	0	2	573	0	1
1922	1	1	1	0	2	573	0	1
1923	1	1	1	0	28	9422	0	1
1924	1	1	1	0	28	9422	0	1
1925	1	1	1	0	28	9422	0	1
1926	1	1	1	0	28	9422	0	1
1927	1	1	1	0	2	573	0	1
1928	1	1	1	0	28	9422	0	1
1929	1	1	1	0	28	9422	0	1
1930	1	1	1	0	28	9422	0	0
1931	1	1	1	0	2	573	0	1
1932	1	1	1	0	2	573	0	1
1933	1	1	1	0	2	573	0	1
1934	1	1	1	0	2	573	0	1
1935	1	1	1	0	2	573	0	1
1936	1	1	1	0	2	573	0	1
1950	1	1	1	0	2	573	0	1
1951	1	1	1	0	2	573	0	1
1952	1	1	1	0	2	573	0	1
1953	1	1	1	0	2	573	0	1
1954	1	1	1	0	2	573	0	1
1955	1	1	1	0	2	573	0	1
1956	1	1	1	0	2	573	0	1
1957	1	1	1	0	28	9422	0	1
1958	1	1	1	0	28	9422	0	1
1959	1	1	1	0	28	9422	0	1
1960	1	1	1	0	28	9422	0	1
1961	1	1	1	0	28	9422	0	1
1962	1	1	1	0	2	573	0	1
1963	1	1	1	0	28	9422	0	1
1964	1	1	1	0	28	9422	0	1
1965	1	1	1	0	28	9422	0	1
1966	1	1	1	0	28	9422	0	1
1967	1	1	1	0	2	573	0	1
1968	1	1	1	0	28	9422	0	1
1998	1	1	1	0	28	9422	0	1
1999	1	1	1	0	28	9422	0	1
2000	1	1	1	0	28	9422	0	1
2001	1	1	1	0	28	9422	0	1
2002	1	1	1	0	28	9422	0	1
2003	1	1	1	0	28	9422	0	1
2004	1	1	1	0	28	9422	0	1
2005	1	1	1	0	28	9422	0	1
2006	1	1	1	0	28	9422	0	1
2007	1	1	1	0	2	573	0	1
2008	1	1	1	0	28	9422	0	1
2009	1	1	1	0	28	9422	0	1
2010	1	1	1	0	28	9422	0	1
2011	1	1	1	0	28	9422	0	1
2012	1	1	1	0	28	9422	0	1
2032	1	1	1	0	28	9422	0	1
2033	1	1	1	0	28	9422	0	1
2037	1	1	1	0	28	9422	0	1
2038	1	1	1	0	28	9422	0	1
2039	1	1	1	0	28	9422	0	1
2040	1	1	1	0	28	9422	0	1
2041	1	1	1	0	28	9422	0	1
2042	1	1	1	0	28	9422	0	1
2043	1	1	1	0	28	9422	0	1
2044	1	1	1	0	28	9422	0	0
2045	1	1	1	0	28	9422	0	1
2046	1	1	1	0	28	9422	0	1
2047	1	1	1	0	2	573	0	1
2048	1	1	1	0	28	9422	0	1
2049	1	1	1	0	28	9422	0	1
2050	1	1	1	0	28	9422	0	1
2051	1	1	1	0	28	9422	0	1
2071	1	1	1	0	28	9422	0	1
2073	1	1	1	0	28	9422	0	1
2078	1	1	1	0	28	9422	0	0
2086	1	1	1	0	2	573	0	1
2087	1	1	1	0	2	573	0	1
2088	1	1	1	0	2	573	0	1
2089	1	1	1	0	2	573	0	1
2090	1	1	1	0	2	573	0	1
2091	1	1	1	0	2	573	0	1
2092	1	1	1	0	2	573	0	1
2093	1	1	1	0	28	9422	0	1
2094	1	1	1	0	28	9422	0	1
2095	1	1	1	0	28	9422	0	1
2096	1	1	1	0	2	573	0	1
2097	1	1	1	0	28	9422	0	1
2098	1	1	1	0	28	9422	0	1
2099	1	1	1	0	28	9422	0	1
2100	1	1	1	0	28	9422	0	1
2120	1	1	1	0	28	9422	0	1
2121	1	1	1	0	28	9422	0	1
2127	1	1	1	0	28	9422	0	0
2128	1	1	1	0	28	9422	0	1
2129	1	1	1	0	28	9422	0	1
2130	1	1	1	0	28	9422	0	1
2131	1	1	1	0	28	9422	0	1
2132	1	1	1	0	28	9422	0	1
2133	1	1	1	0	28	9422	0	1
2134	1	1	1	0	28	9422	0	1
2135	1	1	1	0	28	9422	0	1
2136	1	1	1	0	28	9422	0	1
2137	1	1	1	0	28	9422	0	1
2138	1	1	1	0	28	9422	0	1
2139	1	1	1	0	28	9422	0	1
2140	1	1	1	0	28	9422	0	1
2141	1	1	1	0	28	9422	0	1
2142	1	1	1	0	28	9422	0	1
2162	1	1	1	0	28	9422	0	1
2163	1	1	1	0	28	9422	0	1
2169	1	1	1	0	28	9422	0	1
2170	1	1	1	0	28	9422	0	1
2171	1	1	1	0	28	9422	0	1
2172	1	1	1	0	28	9422	0	1
2173	1	1	1	0	28	9422	0	1
2174	1	1	1	0	28	9422	0	1
2175	1	1	1	0	28	9422	0	1
2176	1	1	1	0	28	9422	0	1
2177	1	1	1	0	28	9422	0	1
2178	1	1	1	0	28	9422	0	1
2179	1	1	1	0	28	9422	0	1
2180	1	1	1	0	28	9422	0	1
2181	1	1	1	0	28	9422	0	1
2182	1	1	1	0	28	9422	0	1
2183	1	1	1	0	28	9422	0	1
2203	1	1	1	0	28	9422	0	1
2204	1	1	1	0	28	9422	0	1
2210	1	1	1	0	28	9422	0	0
2215	1	1	1	0	2	573	0	1
2216	1	1	1	0	2	573	0	1
2217	1	1	1	0	2	573	0	1
2218	1	1	1	0	2	573	0	1
2219	1	1	1	0	2	573	0	1
2220	1	1	1	0	2	573	0	1
2221	1	1	1	0	2	573	0	1
2222	1	1	1	0	28	9422	0	1
2223	1	1	1	0	28	9422	0	1
2224	1	1	1	0	28	9422	0	1
2225	1	1	1	0	28	9422	0	1
2226	1	1	1	0	28	9422	0	1
2227	1	1	1	0	28	9422	0	1
2228	1	1	1	0	2	573	0	1
2229	1	1	1	0	28	9422	0	1
2249	1	1	1	0	2	573	0	1
2250	1	1	1	0	2	573	0	1
2251	1	1	1	0	2	573	0	1
2252	1	1	1	0	2	573	0	1
2253	1	1	1	0	2	573	0	1
2264	1	1	1	0	28	9422	0	1
2265	1	1	1	0	28	9422	0	1
2266	1	1	1	0	28	9422	0	1
2267	1	1	1	0	28	9422	0	1
2268	1	1	1	0	28	9422	0	1
2269	1	1	1	0	28	9422	0	1
2270	1	1	1	0	28	9422	0	1
2271	1	1	1	0	28	9422	0	1
2272	1	1	1	0	28	9422	0	1
2273	1	1	1	0	28	9422	0	1
2274	1	1	1	0	28	9422	0	0
2275	1	1	1	0	28	9422	0	1
2276	1	1	1	0	28	9422	0	1
2277	1	1	1	0	28	9422	0	1
2278	1	1	1	0	28	9422	0	1
2298	1	1	1	0	2	573	0	1
2299	1	1	1	0	2	573	0	1
2300	1	1	1	0	2	573	0	1
2301	1	1	1	0	2	573	0	1
2306	1	1	1	0	28	9422	0	1
2307	1	1	1	0	28	9422	0	1
2308	1	1	1	0	28	9422	0	1
2309	1	1	1	0	28	9422	0	1
2310	1	1	1	0	28	9422	0	1
2311	1	1	1	0	28	9422	0	1
2312	1	1	1	0	28	9422	0	1
2313	1	1	1	0	28	9422	0	1
2314	1	1	1	0	28	9422	0	1
2315	1	1	1	0	28	9422	0	1
2335	1	1	1	0	2	573	0	1
