expired_time	0	throughput	1.1232	
expired_time	0	throughput	0.594286	
expired_time	0	throughput	0.594286	
expired_time	0	throughput	3.23291	RTT	0.0414325
expired_time	0	throughput	1.748	RTT	0.0425026
expired_time	0	throughput	9.83008	RTT	0.0531608
expired_time	0	throughput	9.8635	RTT	0.0328712
expired_time	0	throughput	25.5113	RTT	0.0387328
expired_time	0	throughput	25.5113	RTT	0.0387328
expired_time	0	throughput	11.8165	RTT	0.0360065
expired_time	0	throughput	25.5113	RTT	0.0387328
expired_time	0	throughput	11.8165	RTT	0.0360065
expired_time	0	throughput	11.8165	RTT	0.0360065
expired_time	0	throughput	11.8165	RTT	0.0360065
expired_time	0	throughput	11.8165	RTT	0.0360065
expired_time	0	throughput	22.0064	RTT	0.0556747
expired_time	0	throughput	18.8061	RTT	0.0302308
expired_time	0	throughput	18.8061	RTT	0.0302308
expired_time	0	throughput	18.8061	RTT	0.0302308
expired_time	0	throughput	22.5301	RTT	0.0587321
expired_time	0	throughput	25.5113	RTT	0.0387328
expired_time	0	throughput	25.5113	RTT	0.0387328
expired_time	0	throughput	25.9661	RTT	0.0346433
expired_time	0	throughput	23.114	RTT	0.0614275
expired_time	0	throughput	26.2697	RTT	0.0346492
expired_time	0	throughput	23.7343	RTT	0.0323587
expired_time	0	throughput	25.5113	RTT	0.0387328
expired_time	0	throughput	25.5113	RTT	0.0387328
expired_time	0	throughput	1.7864	RTT	0.0409319
expired_time	0	throughput	28.3478	RTT	0.0346559
expired_time	0	throughput	28.3478	RTT	0.0346559
expired_time	0	throughput	29.3472	RTT	0.033505
expired_time	0	throughput	29.3472	RTT	0.0341188
expired_time	0	throughput	29.6278	RTT	0.0341188
expired_time	0	throughput	29.6278	RTT	0.0341188
expired_time	0	throughput	1.6464	RTT	0.035
expired_time	0	throughput	29.3472	RTT	0.0332707
expired_time	0	throughput	29.3472	RTT	0.0341188
expired_time	0	throughput	29.3472	RTT	0.0341188
expired_time	0	throughput	70.2832	RTT	0.107603
expired_time	0	throughput	70.2832	RTT	0.107603
expired_time	0	throughput	29.3472	RTT	0.0341188
expired_time	0	throughput	30.308	RTT	0.035
expired_time	0	throughput	70.2832	RTT	0.107603
expired_time	0	throughput	138.359	RTT	0.118179
simTime	15	throughput	138.359	RTT	0.118179
simTime	15	throughput	76.112	RTT	0.0480639
simTime	15	throughput	63.3624	RTT	0.114734
simTime	15	throughput	6.5528	RTT	0.176268
simTime	15	throughput	60.6592	RTT	0.0482752
simTime	15	throughput	60.6592	RTT	0.0482752
